"RolloutID","stageMapRef"
"f80f649c-c15f-4314-82b7-b8eaacfb3a82","Microsoft.Azure.SDP.Standard/0.0.9"
"34ff4090-90d0-4ab9-a568-787200b85b31","Microsoft.Azure.SDP.Standard/0.0.10"
"71f3aab2-05a5-4466-a447-729e65ec09ba","Microsoft.Azure.SDP.Standard/0.0.9"
"9418b674-8af4-4b0e-ac77-0eac1727f2e1","Microsoft.Azure.SDP.Standard/0.0.9"
"ec27d788-835b-4600-b31d-13e5209360ba","Microsoft.Azure.SDP.Standard/0.0.9"
"3934a62c-cc25-40f7-a78d-9c62c000cb50","Microsoft.Azure.SDP.Standard/0.0.9"
"21deead6-e2d4-41b3-b5be-95c4f4c738dd","Microsoft.Azure.SDP.Standard/0.0.9"
"25194662-ca6b-4962-aa78-85bd250e8714","Microsoft.Azure.SDP.Standard/0.0.9"
"5cf85ca5-467d-44b3-bec7-9f623bfcfb44","Microsoft.Azure.SDP.Standard/0.0.10"
"0d56373c-3d98-4769-9c2b-20c7b9342a1b","Microsoft.Azure.SDP.Standard/0.0.10"
"14067113-4151-4202-a45d-a3b73dd87e7a","Microsoft.Azure.SDP.Standard/0.0.10"
"0b4d9dc8-15ba-4a33-98a3-b54aeda3b9ef","Microsoft.Azure.SDP.Standard/0.0.9"
"7c9f99d9-8d2e-4d13-b0cd-ea3605f08b08","Microsoft.Azure.SDP.Standard/0.0.10"
"179c9822-a724-4829-bfa6-e8e0c0099687","Microsoft.Azure.SDP.Standard/0.0.9"
"d7335b4a-f234-42a1-82ee-926ad8b942ee","Microsoft.Azure.SDP.Standard/0.0.10"
"e34ff9c1-ece6-4368-ab54-3b88f3f25695","Microsoft.Azure.SDP.Standard/0.0.10"
"2f91a150-8990-4a08-ad78-12bb0049d8fb","Microsoft.Azure.SDP.Standard/0.0.10"
"f7ae143f-fbb3-4aed-b957-0c2c423c78a9","Microsoft.Azure.SDP.Standard/0.0.10"
"80d4c8e7-069f-4363-8682-333ee732ecfb","Microsoft.Azure.SDP.Standard/0.0.10"
"aa41c633-f3e6-4b0e-aa6d-a3d084722fc2","Microsoft.Azure.SDP.Standard/0.0.10"
"fab7d469-c3ab-4623-87fe-f85abcf259b6","Microsoft.Azure.SDP.Standard/0.0.9"
"89449896-6b40-4010-a69d-d3cf9036613c","Microsoft.Azure.SDP.Standard/0.0.10"
"291269a0-74c0-4423-89b7-47059621058d","Microsoft.Azure.SDP.Standard/0.0.10"
"81098277-bfae-4bb3-b136-aeadd2fcbace","Microsoft.Azure.SDP.Standard/0.0.10"
"fc9cd2cc-fc55-478c-881b-8e6b884391ea","Microsoft.Azure.SDP.Standard/0.0.10"
"cfed1f7b-a908-4240-910c-87fac9cd1608","Microsoft.Azure.SDP.Standard/0.0.10"
"9a80274b-3f89-429d-b667-a2e64b8c7524","Microsoft.Azure.SDP.Standard/0.0.10"
"4dd6ca3c-c431-41a1-846a-8c72a19947e8","Microsoft.Azure.SDP.Standard/0.0.10"
"bf479dca-71c9-4fc8-8112-761d63a3f80e","Microsoft.Azure.SDP.Standard/0.0.10"
"6a93693b-8e5e-4257-9ce4-9e4775a0ad78","Microsoft.Azure.SDP.Standard/0.0.10"
"7208b9f2-cecb-4274-9619-1997ceff7d27","Microsoft.Azure.SDP.Standard/0.0.10"
"166135cb-6cd5-4c97-9ef2-16ef11215f92","Microsoft.Azure.SDP.Standard/0.0.10"
"270b89fb-c63e-4fcf-9837-e05b4e39167c","Microsoft.Azure.SDP.Standard/0.0.9"
"9314f2fe-b586-4f7b-a074-9292d9f9ab4a","Microsoft.Azure.SDP.Standard/0.0.10"
"aefa93cd-bb26-43b9-982b-1a1d7128caae","Microsoft.Azure.SDP.Standard/0.0.10"
"35935b75-3c66-4dd6-9ac3-55b3e2f734f2","Microsoft.Azure.SDP.Standard/0.0.9"
"1441372e-b2ae-4671-b589-39b2f7db27e3","Microsoft.Azure.SDP.Standard/0.0.10"
"52f3da2e-9b67-4554-9fa3-d53b439146ba","Microsoft.Azure.SDP.Standard/0.0.10"
"97ebfae7-9760-4f6b-83b8-85740c5f0ec4","Microsoft.Azure.SDP.Standard/0.0.10"
"be66f645-fa41-44dc-ad5e-7aff660a6681","Microsoft.Azure.SDP.Standard/0.0.10"
"3cccbaff-7daa-4383-a471-c51263f66fe3","Microsoft.Azure.SDP.Standard/0.0.10"
