"ServiceId","ServiceGroup","RolloutID","BuildNumber","PreciseTimeStamp"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.AKS.Reloader","5ef4587e-40f1-426f-960b-9cb1984ee588","20240724.2","2024-07-24T10:18:07.519709Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.AKS.Reloader","cf6012a2-72d3-42b9-b5c7-2f037a7eda5f","20240724.3","2024-07-24T10:22:12.256706Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.AKS.Reloader","0dc42fcf-bd02-4088-9cf2-239a342e4ed9","20240724.4","2024-07-24T12:22:29.74283Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.AKS.Reloader","a5ba613c-10a1-4c97-9d9c-d0f72229068a","20240724.4","2024-07-24T12:30:12.410432Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.AKS.Reloader","8eec6e0b-8466-429d-bf4a-61abb1b9bdf2","20240724.5","2024-07-24T12:38:15.669298Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.AKS.Reloader","0f6c8b8b-1562-4f24-a88c-9383e0857319","20240724.5","2024-07-24T13:01:02.913928Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.AksCluster","c2c0137e-2c65-4ae2-bfaa-d8937a1f9924","20240724.1","2024-07-24T10:20:17.309744Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.AksCluster","d9cdde14-55e3-49a5-a3cf-ffbea6e8126e","20240724.4","2024-07-24T11:59:03.414971Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.AksCluster","11bcdf81-c85a-4668-9b77-5a1f8985b65f","20240724.4","2024-07-24T12:14:23.990311Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.AksCluster","99d7e2e2-fd51-4c94-a9f3-6e463a383d94","20240724.5","2024-07-24T12:18:56.661438Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.AksCluster","ede758ba-5c3b-467b-a029-fd813e713108","20240724.5","2024-07-24T12:45:47.337792Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.BackgroundService","e9554df7-0fda-41a6-8ca9-5ab5438a55f4","20240724.3","2024-07-24T10:10:18.618098Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.BackgroundService","3f6e2bc9-26c2-41d0-9c3e-357bd3e5d201","20240724.4","2024-07-24T12:31:11.806415Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.BackgroundService","40521fa0-4de1-4e04-856b-831522677d0b","20240724.4","2024-07-24T12:31:26.387457Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.BackgroundService","87ac50aa-4af6-489b-a99b-45f927e8df45","20240724.5","2024-07-24T12:54:43.842748Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.BackgroundService","234cbee3-4adc-45e7-945c-0261a63388b9","20240724.5","2024-07-24T13:00:19.439087Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.DataflowManager","31e7cbb7-b58c-4880-8ce0-a3672e1dd94f","20240724.3","2024-07-24T10:11:03.948812Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.DataflowManager","598bde94-d62b-42dc-b65d-e3c5b3ec1261","20240724.4","2024-07-24T12:30:47.28421Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.DataflowManager","0ca9bb5e-0b97-4aaf-bc06-033703b59ebe","20240724.5","2024-07-24T13:01:25.149945Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.Ingress","ad8f64a5-c1f4-42f9-b8f8-eee93b3ae980","20240724.3","2024-07-24T10:10:13.136806Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.Ingress","b4e56ff5-9ad9-45b8-9d75-b1a8c0620c02","20240724.2","2024-07-24T10:18:11.050278Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.Ingress","a89788f8-bd5a-4558-843f-5e8e987ce613","20240724.4","2024-07-24T12:23:33.50068Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.Ingress","56e0ab0b-4b96-4497-931e-d8767dc9794d","20240724.4","2024-07-24T12:29:48.429029Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.Ingress","a4249f80-4357-4b85-a362-13e678572030","20240724.5","2024-07-24T12:38:02.625079Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.Ingress","0e70cf33-4a31-4e80-918c-d27d2fd2406e","20240724.5","2024-07-24T13:00:24.058047Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.LSRPipelineManager","9e40edcf-9e0c-446e-9482-326fb4548a96","20240724.3","2024-07-24T10:11:03.250453Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.LSRPipelineManager","3e2a3f20-8c37-4caa-8084-c6b4eb11ab68","20240724.2","2024-07-24T10:27:01.876644Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.LSRPipelineManager","2e1471fb-c3e8-4e30-bf8f-b2cbda6d8e0c","20240724.4","2024-07-24T12:31:53.828948Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.LSRPipelineManager","950b024d-7a73-4c37-93f7-e72ee5cb7f54","20240724.4","2024-07-24T12:51:54.129759Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.LSRPipelineManager","ed94a5b2-2e31-4350-b44f-70dba5735de9","20240724.5","2024-07-24T13:01:22.13495Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.MetadataManager","1ddf3fbc-8ad4-44a6-a009-cf30ef6cd6e2","20240724.3","2024-07-24T10:12:11.047273Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.MetadataManager","26353c7c-33d4-40db-a375-963182265e4a","20240724.4","2024-07-24T12:30:16.364786Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.MetadataManager","c77d67f0-b984-4356-b68e-df7f301fd91f","20240724.4","2024-07-24T12:31:16.210977Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.MetadataManager","2fe2bb8b-cf03-47b8-8c3c-40b11aaec96d","20240724.5","2024-07-24T12:53:12.917867Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.MetadataManager","57c84f50-311c-4c09-be28-05cfecfd65d1","20240724.5","2024-07-24T13:00:41.668187Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.MonitoringService","c15c3f2e-460b-4e72-8b96-92c8593766d9","20240724.3","2024-07-24T10:11:13.734014Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.MonitoringService","32897077-1c0a-481f-98d7-be9a5d701fd0","20240724.3","2024-07-24T11:32:51.768618Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.MonitoringService","9a2a85da-15e2-4ba3-b388-5df1a874d5fc","20240724.4","2024-07-24T12:30:10.440168Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.MonitoringService","e6e0734e-bc97-41e1-95bc-79b462d370dd","20240724.4","2024-07-24T12:33:03.837344Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.MonitoringService","55eaa778-00a5-4103-82b8-2963acebe2b1","20240724.5","2024-07-24T12:53:36.043363Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.MonitoringService","8d6ce84c-8c4e-41c6-a0bf-1592ab30ebb8","20240724.5","2024-07-24T12:59:45.674074Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.PartnerDataPlaneResourceProvider","0c3465bd-67ea-4f8d-831a-be9544873aa8","20240724.3","2024-07-24T10:11:05.732992Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.PartnerDataPlaneResourceProvider","6fe2cede-35c6-42da-837e-6c704eb1fa12","20240724.2","2024-07-24T10:27:00.804291Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.PartnerDataPlaneResourceProvider","fb0e5e13-1776-4597-abe5-3055cec31b7a","20240724.4","2024-07-24T12:30:59.808904Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.PartnerDataPlaneResourceProvider","65bb81e8-c20d-4ba6-a6a4-ed05390252bc","20240724.4","2024-07-24T12:51:16.632402Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.PartnerDataPlaneResourceProvider","78bfa449-8f76-414a-b9f3-0c3b4003d8b2","20240724.5","2024-07-24T13:00:58.199218Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.PipelineManager","e6c3d54f-5459-4ebe-9f48-97fcd0dda599","20240724.3","2024-07-24T10:09:33.058891Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.PipelineManager","fb7eeb89-0498-478d-960d-c24ff5310d24","20240724.4","2024-07-24T12:28:47.086418Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.PipelineManager","c77ad6f8-a0d0-422b-b3e2-8b41bd29c3a7","20240724.4","2024-07-24T12:31:13.592967Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.PipelineManager","bb999fe0-c426-4f2e-9cf0-04c2b4deddf2","20240724.5","2024-07-24T12:54:01.098689Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.PipelineManager","9f4b39cc-2e2f-43c1-9196-bcb5aa427bf2","20240724.5","2024-07-24T13:00:24.946424Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.RegionExpansion","76182456-197d-4b54-baaf-96c40abf283e","20240721.1","2024-07-24T10:27:40.885399Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.ResourceProvider","dcef07d7-3ef6-4834-9c9e-9c53a0565e3d","20240724.3","2024-07-24T10:11:41.087749Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.ResourceProvider","8f253152-1762-4c23-a3dd-ff753920de1d","20240724.4","2024-07-24T12:29:44.213274Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.ResourceProvider","01e665e6-32a8-45e4-916e-bd1f04b52a80","20240724.4","2024-07-24T12:30:52.236872Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.ResourceProvider","76c1b89a-5abd-45c2-8aa6-be77310bbc2f","20240724.5","2024-07-24T12:53:44.417362Z"
"f76de4a1-629f-4651-9d76-1d7b56544f3c","ADF.ResourceProvider","8981f153-db6b-41c7-885f-105f00eff09e","20240724.5","2024-07-24T13:01:03.087366Z"
"3cd8bc45-8d2e-486e-93a3-3a3ee465fe85","ADXBuildOut","440001a2-1078-4ea1-b3c7-6843131af8d5","20240724.2","2024-07-24T10:23:21.380803Z"
"099d7c99-7de8-4a98-b068-9fdcdfbbd705","ADXBuildOut","3c6edd7c-feb9-41c2-bdf5-b81f0e693f9c","1_0_2891_0_98830989 (engsys_mda_pipeline_delivery_main)","2024-07-24T14:05:35.403148Z"
"099d7c99-7de8-4a98-b068-9fdcdfbbd705","ADXBuildOut","12e5296e-ba57-4d2a-9235-6a52301ce14c","1_0_2891_0_98830989 (engsys_mda_pipeline_delivery_main)","2024-07-24T14:13:49.291034Z"
"099d7c99-7de8-4a98-b068-9fdcdfbbd705","ADXBuildOut","6aa82279-4495-43b4-85bf-4938b3f1d2d4","1_0_2891_0_98830989 (engsys_mda_pipeline_delivery_main)","2024-07-24T14:21:19.026442Z"
"2ea29b44-37cd-47cd-bf1f-f6c3b8f6eeaf","AICP","ad72e014-fde2-4ab4-bee5-ee655b29a37c","1.0.98890454-alpha-703867e","2024-07-24T07:25:53.873512Z"
"2ea29b44-37cd-47cd-bf1f-f6c3b8f6eeaf","AICP","6b8f0412-7e5a-48df-a152-5d43b5c89ca6","1.0.98890454-alpha-703867e","2024-07-24T07:25:55.815971Z"
"2ea29b44-37cd-47cd-bf1f-f6c3b8f6eeaf","AICP","c8ae0a5f-f181-472b-af4c-238fc63a3d59","1.0.98890454-alpha-703867e","2024-07-24T07:26:45.537858Z"
"2ea29b44-37cd-47cd-bf1f-f6c3b8f6eeaf","AICP","6a50583a-58d7-4ce5-a6f9-db2474f95318","1.0.98890454-alpha-703867e","2024-07-24T07:26:55.412672Z"
"NOT_AVAILABLE","AICP","6344454d-730f-4294-95d9-2c6fc70384ad","20240722.2","2024-07-24T07:27:41.54761Z"
"01986c17-6738-4e42-9e47-178fa07c50d6","AICP","58111dfe-69fa-4fa1-9e0a-abed2efba91d","1.0.02761.4574-official-136aae09","2024-07-24T10:19:22.708768Z"
"01986c17-6738-4e42-9e47-178fa07c50d6","AICP","c58750e2-9233-45df-8534-ae87e2e946d6","1.0.02761.4574-official-136aae09","2024-07-24T10:19:36.927395Z"
"01986c17-6738-4e42-9e47-178fa07c50d6","AICP","2318f712-5db9-41d3-bf40-2632e32ef1bf","1.0.02761.4574-official-136aae09","2024-07-24T10:19:40.520409Z"
"01986c17-6738-4e42-9e47-178fa07c50d6","AICP","9af636f6-f2ae-483c-ad9c-738f00695e1e","1.0.02761.4574-official-136aae09","2024-07-24T10:19:50.638699Z"
"01986c17-6738-4e42-9e47-178fa07c50d6","AICP","de819d3f-ffd0-4e06-8476-ec4854d8e4fc","1.0.02761.4574-official-136aae09","2024-07-24T10:19:56.343699Z"
"01986c17-6738-4e42-9e47-178fa07c50d6","AICP","957a3a1e-01bf-4bcc-9416-fd36ec9d7a26","1.0.02761.4574-official-136aae09","2024-07-24T10:20:02.464611Z"
"01986c17-6738-4e42-9e47-178fa07c50d6","AICP","18f8e28f-0119-4e2d-a6e9-ca4dd7f032b9","1.0.02761.4574-official-136aae09","2024-07-24T10:20:03.091859Z"
"01986c17-6738-4e42-9e47-178fa07c50d6","AICP","5b00c094-c1e7-4e1e-bfac-a57e5f829232","1.0.02761.4574-official-136aae09","2024-07-24T10:20:06.200933Z"
"01986c17-6738-4e42-9e47-178fa07c50d6","AICP","1b3e3e45-0cae-4001-97dd-b1967c4421df","1.0.02761.4574-official-136aae09","2024-07-24T10:20:19.448547Z"
